Author,Min. estimated sales,Max. estimated sales,Original language,Genre or major works,Number of books,Nationality
William Shakespeare,2 billion[1],4 billion[2],English,Plays and poetry,42,English
Agatha Christie,2 billion[3],4 billion[2],English,Whodunits including the Miss Marple and Hercule Poirot series,85,English
Barbara Cartland,500 million[4],1 billion[5],English,Romance,723,English
Danielle Steel,500 million[6],800 million[7],English,Romance,179,American
Harold Robbins,750 million[8],750 million[9],English,Adventure,23,American
Enid Blyton,,600 million[12],English,"Children's literature, Noddy, The Famous Five, The Secret Seven",800,English
Sidney Sheldon,370 million[13],600 million[14],English,Suspense,21,American
J. K. Rowling,500 million[15],500 million[15],English,"Harry Potter, Fantastic Beasts and Where to Find Them, Cormoran Strike, fantasy, crime fiction",15,British
Gilbert Patten,125 million[16],500 million[17],English,Adolescent adventures,209,American
Dr. Seuss,100 million[18],500 million[19],English,Children's literature,44,American
Jackie Collins,250 million[25],400 million[26],English,Romance,25,English
Horatio Alger,200 million[27],400 million[28],English,Dime novels,135,American
R. L. Stine,100 million[29],400 million[30],English,"Goosebumps series, Fear Street series, horror, comedy",430+,American
Dean Koontz,325 million[31],400 million[32],English,"Horror, thriller, science fiction, fantasy",91,American
Nora Roberts,145 million[33],400 million[34],English,Romance,200+,American
Stephen King,300 million[35],350 million[36],English,"Horror, science fiction, fantasy, It, The Shining, The Stand, Pet Sematary, Salem's Lot, The Green Mile",77,American
Jeffrey Archer,250 million[39],330 million[40],English,"Saga, thriller, short stories, Kane and Abel, The Clifton Chronicles",33,English
Louis L'Amour,230 million[41],330 million[42],English,Western,101,American
Erle Stanley Gardner,100 million[46],325 million[47],English,"Mystery, Perry Mason",140,American
Edgar Wallace,,300 million[48],English,Detective,175,English
Janet Dailey,300 million[52],300 million[53],English,Romance,93,American
Robert Ludlum,110 million[54],290 million[55],English,"Espionage, Jason Bourne",40,American
James Patterson,150 million[69],275 million[70],English,"Thriller, Alex Cross",98,American
Stan and Jan Berenstain,200 million[73],260 million[74],English,Berenstain Bears,300+,American
Roald Dahl,200 million[75],250 million[76],English,Children's literature,50,British
John Grisham,100 million[77],250 million[78],English,Legal thriller,22,American
Zane Grey,,250 million[79],English,Western,,American
Irving Wallace,,250 million[80],English,Suspense,,American
J. R. R. Tolkien,200 million[81],250 million[82],English,"The Lord of the Rings, The Hobbit, classical fantasy",36,English
Carter Brown,100 million[86],120 million[87],English,Detective,,Australian
Mickey Spillane,100 million[88],200 million[89],English,"Detective, Mike Hammer",,American
C. S. Lewis,100 million[90],200 million[91],English,"The Chronicles of Narnia, fantasy, popular theology",38,British
Dan Brown,200 million,200 million[95],English,"Thriller, Robert Langdon",7[96],American
Ann M. Martin,172 million[97],180 million[98],English,The Baby-sitters Club,335,American
Arthur Hailey,150 million[100],170 million[101],English,Thriller,11,British/Canadian
Beatrix Potter,100 million[103],150 million[104],English,Peter Rabbit,23,English
Michael Crichton,150 million[105],150 million[106],English,Techno thriller,25,American
Richard Scarry,100 million[107],150 million[108],English,Illustrated children's books,250,American
Clive Cussler,40 million[109],150 million[110],English,"Adventure, Dirk Pitt",37,American
Alistair MacLean,150 million[111],200 million[112],English,"Adventure, thriller, war stories",32,British
Ken Follett,90 million[113],150 million[114],English,"Spy thriller, historical thriller",30,British
Debbie Macomber,60 million[117],140 million[118],English,Romance,,American
EL James,100 million,125 million,English,Fifty Shades of Grey,3,British
Catherine Cookson,100 million[121],120 million[122],English,Romance,103,British
Stephenie Meyer,100 million[123],116 million[124],English,"The Twilight Saga, The Host, romance",6,American
Norman Bridwell,100 million[125],110 million[126],English,Clifford the Big Red Dog,80,American
David Baldacci,,110 million[127],English,Thriller,25,American
Nicholas Sparks,90 million[128],105 million[129],English,Romance,22,American
Evan Hunter,100 million[131],100 million[132],English,Detective (Ed McBain),94,American
Andrew Neiderman,100 million[133],100 million[134],English,"V. C. Andrews, The Devil's Advocate",60,American
Roger Hargreaves,100 million[135],100 million[136],English,"Children's literature, Mr. Men",,British
Anne Rice,75 million[137],100 million[138],English,"Gothic fiction, vampires, Interview with the Vampire (The Vampire Chronicles)",27,American
Robin Cook,100 million[139],100 million[140],English,Medical thriller Coma,27,American
Wilbur Smith,80 million[141],100 million[142],English,African adventure,32,South African/British
Erskine Caldwell,80 million[143],100 million[144],English,Literature,25,American
Judith Krantz,80 million [145],100 million [146],English,Romance,12,American
Eleanor Hibbert,100 million[147],100 million[148],English,"Romance, historical, suspense",200,British
Lewis Carroll,,100 million[149],English,"Alice's Adventures in Wonderland, absurdist literature",5,British
Denise Robins,,100 million[150],English,Romance,200,British
Ian Fleming,100 million[152],100 million[153],English,James Bond,14,British
Rex Stout,100 million[156],100 million[157],English,Nero Wolfe,50,American
Frank G. Slaughter,,100 million[160],English,Medical,62,American
Edgar Rice Burroughs,100 million[161],100 million[162],English,"Tarzan, Barsoom and Pellucidar series, science fantasy",,American
John Creasey,,100 million[163],English,Crime thriller,600,British
James A. Michener,,100 million[164],English,Historical,47,American
Mary Higgins Clark,100 million[166],100 million[167],English,Thriller,,American
Penny Jordan,90 million[168],100 million[169],English,Romance,200+,British
Patricia Cornwell,,100 million[170],English,Thriller,34+,American
